"Years","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"                Minnesota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3048595","3092664","3127298","3161315","3191548","3219270","3250768","3279817","3304014","3324611","3341232","3365687","3371009","3382254","3391343","3395307","3402041","3410097","3418762",,
"                Mississippi (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1729982","1740014","1750133","1760938","1777280","1788874","1789791","1804223","1816918","1824267","1834842","1842159","1838647","1838608","1832842","1824581","1817930","1813566","1805914",,
"                Missouri (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3422671","3456383","3490850","3524106","3559237","3593386","3629768","3659921","3682636","3707509","3730715","3742821","3735986","3734982","3730651","3726816","3720721","3719288","3715658",,
"                Montana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"552418","557318","563099","571323","580734","588986","597980","605556","612270","616380","619871","623599","623478","625829","626756","627816","629704","632958","633969",,
"                Nebraska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1031010","1039248","1048379","1059201","1068880","1079153","1087359","1093772","1101843","1112008","1122492","1130381","1133513","1137565","1141479","1143018","1146155","1147087","1148761",,
"                Nevada (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1281125","1331898","1379337","1427124","1491186","1548805","1607840","1656263","1687991","1703401","1712026","1715638","1728281","1740483","1759056","1781517","1806571","1834177","1869214",,
"                New Hampshire (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"781149","794364","805719","816087","825009","833390","841347","845543","848519","849983","851456","854258","853069","851037","852661","851663","852036","852821","852643",,
"                New Jersey (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5227366","5274979","5320178","5356838","5386210","5409443","5430700","5451343","5476819","5513297","5547366","5570064","5562890","5560925","5551847","5540958","5526296","5519161","5516350",,
"                New Mexico (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1099749","1110887","1131227","1150873","1172228","1192643","1212680","1230572","1241074","1255115","1271946","1281367","1279527","1277334","1268860","1261753","1257183","1251612","1247086",,
"                New York (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11860944","11947586","12013170","12075438","12109278","12124026","12154626","12203838","12280997","12371930","12451352","12530091","12541608","12546451","12526872","12482693","12419988","12337650","12260573",,
"                North Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5141501","5220064","5290567","5342648","5431445","5524302","5654052","5769580","5886651","5969961","6049729","6096846","6124006","6160718","6191859","6233586","6293837","6342598","6393710",,
"                North Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"386961","388704","391080","394643","401268","404014","407709","410831","414322","419722","426656","433928","443034","456016","464190","472920","469321","465517","464742",,
"                Ohio (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6967551","6999350","7030453","7066159","7093891","7116297","7135220","7149008","7157294","7173122","7190215","7204559","7175963","7171323","7159997","7143100","7125593","7114044","7101095",,
"                Oklahoma (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2105948","2124621","2146334","2160953","2180534","2196512","2224282","2248660","2268124","2295210","2319049","2335946","2344005","2356421","2362255","2373639","2375003","2369446","2367040",,
"                Oregon (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2143215","2176841","2214716","2242982","2261223","2293797","2332160","2366954","2395040","2419666","2434637","2456249","2459413","2462432","2475807","2499148","2538972","2563322","2578455",,
"                Pennsylvania (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7447155","7484230","7534367","7593604","7647458","7703193","7767082","7819514","7861869","7915281","7961870","8002392","7985266","7970981","7950871","7918887","7881870","7847350","7822519",,
"                Rhode Island (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"649773","657402","666478","673219","678648","677711","677632","675842","675503","676624","678040","679206","677971","677297","676909","675785","674515","671769","669848",,
"                South Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2526375","2554926","2586787","2617728","2662277","2700052","2752635","2806326","2857902","2893211","2918959","2936987","2945213","2959299","2979949","3006308","3030870","3053755","3078267",,
"                South Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"444967","449052","453315","458172","464838","469813","475108","480727","485401","490520","496142","501747","507102","510122","511074","510425","512497","515595","517775",,
"                Tennessee (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3598654","3630870","3663524","3696046","3740781","3789875","3844240","3900238","3936061","3973988","4002276","4028682","4042458","4051247","4062808","4078483","4097788","4126685","4154093",,
"                Texas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12957155","13232770","13496485","13727991","13976579","14229339","14583131","14878014","15169134","15466109","15744051","16009976","16258554","16476714","16752673","17039586","17286922","17493434","17701426",,
"                Utah (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1331590","1362529","1393358","1418091","1443953","1477059","1514684","1555360","1590580","1622174","1650172","1674027","1694215","1718332","1739481","1765582","1802586","1841266","1878165",,
"                Vermont (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"384375","388078","392284","395727","398593","401096","403274","404100","404309","405052","405539","406134","403009","401115","398021","395951","392500","390593","389119",,
"                Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4569201","4637674","4697972","4753818","4830106","4898805","4967050","5016223","5064761","5123884","5185231","5232668","5261260","5283876","5299418","5306889","5311348","5322083","5332492",,
"                Washington (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3730379","3798239","3857244","3902128","3958887","4019844","4099876","4159072","4224436","4286407","4326306","4376653","4399785","4425306","4464861","4520490","4588851","4656407","4708074",,
"                West Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1128899","1129271","1134317","1140610","1144641","1148800","1153170","1155916","1158186","1163790","1168817","1169376","1160509","1151172","1139350","1126663","1111455","1095172","1081794",,
"                Wisconsin (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3300212","3334337","3371336","3407560","3441092","3472276","3497912","3521006","3539561","3558917","3573292","3587283","3582835","3583627","3579447","3571122","3561906","3555310","3551992",,
"                Wyoming (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"307642","309940","315383","319076","323956","327948","333832","341352","347854","356284","358451","359604","364102","365611","362240","360937","357185","350899","347587",,
"        Children (15 and under) (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"64344519","64534135","64660906","64801304","64916665","64976015","64923224","65046110","65226366","65347488","65431500","65326679","65256107","65215240","65215858","65246981","65176401","65078781","64957587","64746305",
"            By State",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Alabama (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"994341","991731","987348","984672","985133","986580","990560","993555","998213","998350","996463","992417","988418","982771","977849","974030","969307","964703","963206",,
"                Alaska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"169099","166831","165910","164519","163973","162856","162359","160997","160657","164413","166696","167687","167947","168142","166973","166373","166816","165827","164566",,
"                Arizona (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1229024","1250635","1273610","1296337","1323222","1361987","1398299","1425888","1446550","1445125","1445077","1435505","1437106","1438545","1442682","1445940","1448941","1449812","1455293",,
"                Arkansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"600745","600091","599548","601089","604681","610244","616225","619878","623686","627269","631462","632291","632430","630006","627647","626837","625533","624919","623852",,
"                California (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8289568","8329866","8346929","8373748","8366435","8325955","8251000","8188826","8177598","8165321","8163338","8140581","8112526","8097455","8090269","8084609","8052834","8012141","7980046",,
"                Colorado (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"984087","1000915","1009773","1015218","1016675","1025974","1038087","1053298","1067450","1081243","1093078","1098960","1103271","1107765","1113347","1121401","1122785","1121054","1122810",,
"                Connecticut (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"754576","755790","755453","755791","751656","743892","735214","728007","723074","718258","712399","703885","695368","684288","675274","665116","655315","648311","642325",,
"                Delaware (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"173604","174229","174748","175762","177020","178449","179057","179879","180909","181201","180965","180730","180956","180682","180449","180589","180190","180028","180386",,
"                District of Columbia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"103048","103182","102645","100336","98644","96156","93531","91585","90326","90173","89672","92728","96956","101482","105196","108543","111089","114318","116888",,
"                Florida (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3248076","3292531","3339579","3379537","3436385","3494687","3525949","3527176","3524447","3511664","3514823","3521609","3536599","3552149","3580247","3624020","3670612","3707047","3740400",,
"                Georgia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1942057","1976121","2005351","2031699","2056239","2091674","2130779","2172886","2196890","2203220","2208061","2208229","2209449","2208633","2210084","2215646","2217923","2215326","2214474",,
"                Hawaii (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"261994","261330","261236","261710","264561","264676","264287","264206","265752","268105","269339","272114","274599","276660","276263","276641","275830","274092","272477",,
"                Idaho (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"326023","328566","331719","335788","341066","349857","358525","367907","375478","379535","382955","382738","381651","382175","383893","385356","388240","392442","395835",,
"                Illinois (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2887902","2884872","2876126","2866622","2851143","2829671","2804044","2788896","2776719","2765380","2752496","2725766","2700875","2674410","2646513","2619333","2586777","2553599","2523081",,
"                Indiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1398432","1402362","1401853","1404774","1407923","1412423","1415442","1418854","1422766","1422689","1420568","1414491","1407784","1405523","1401603","1396760","1391613","1387707","1386734",,
"                Iowa (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"645006","640573","636110","634752","634518","633637","634859","636301","639654","642050","644603","643858","643524","645241","647018","648168","648269","648818","648871",,
"                Kansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"630707","626940","625160","624546","623277","622532","621577","628007","633217","640573","647153","646858","647417","646054","643834","641314","636546","631594","627189",,
"                Kentucky (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"880553","880505","881291","885139","886040","889844","893202","896378","902379","903697","906896","906098","904484","903955","900968","897878","895737","894576","894625",,
"                Louisiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1072155","1059637","1051270","1047355","1045008","1040103","947203","964428","977763","984170","989487","991064","991846","991660","992134","992220","989072","982242","975427",,
"                Maine (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"264772","262553","260417","258611","256462","253814","250276","247737","244751","241412","238264","235057","232159","229503","227239","224335","222655","221321","219927",,
"                Maryland (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1211728","1217198","1221983","1224278","1224064","1218805","1207678","1197485","1190130","1187668","1189731","1189648","1190391","1189913","1193475","1193088","1190642","1188501","1188086",,
"                Massachusetts (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1342113","1341491","1333973","1323062","1306143","1287587","1268818","1255889","1250703","1246265","1242643","1236640","1232222","1229085","1224252","1217798","1209775","1204604","1200633",,
"                Michigan (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2310395","2302899","2288478","2274598","2256738","2232219","2192922","2152882","2110150","2073649","2042926","2016215","1994585","1976958","1960205","1941393","1926565","1914520","1904719",,
"                Minnesota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1139060","1138397","1133351","1130474","1129407","1126742","1125959","1128769","1131433","1133862","1135230","1134856","1134140","1136638","1140814","1143430","1148209","1153643","1158915",,
"                Mississippi (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"683677","679140","674482","672705","674695","673756","666531","670377","671396","669152","665940","662187","658690","653829","649494","644125","637463","630598","625350",,
"                Missouri (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1263682","1260466","1256619","1255001","1254886","1254956","1255655","1257072","1257318","1257386","1257589","1250908","1244985","1239880","1235281","1230982","1226354","1222831","1220293",,
"                Montana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200750","197587","195132","194069","193397","193295","193245","194312","195767","196314","196893","197187","197533","199041","200199","201383","202668","203749","203860",,
"                Nebraska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"396391","394073","393661","394319","395867","397041","397239","398796","401513","405122","409063","410439","412805","415234","417805","420581","422766","424064","425044",,
"                Nevada (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"464182","480464","495717","509785","529497","546765","564406","580858","588696","591598","589168","584032","581902","583169","587190","593533","599558","604922","612840",,
"                New Hampshire (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"275856","276645","275980","274160","271520","268893","265669","261142","257099","253109","249045","244883","240525","236953","233630","231269","229293","227564","225633",,
"                New Jersey (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1870050","1880413","1888083","1893273","1890373","1875079","1851292","1833528","1823084","1817784","1812462","1801302","1787568","1773903","1762350","1749359","1736132","1728462","1724478",,
"                New Mexico (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"448631","443385","442470","440310","440802","442275","443596","446803","450187","455094","458924","458860","456402","453307","448196","443181","437930","431889","426529",,
"                New York (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4176646","4156706","4128156","4092179","4040971","3971703","3898491","3847248","3820024","3799884","3786422","3773179","3756198","3741015","3719204","3700052","3668816","3634510","3605556",,
"                North Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1761184","1792064","1815728","1838235","1856998","1885902","1917649","1960601","1993358","2014692","2024963","2027514","2028954","2030173","2029239","2027673","2027979","2029949","2033731",,
"                North Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"139685","135695","132938","131036","130439","129546","128730","129063","129587","131279","133222","135829","140484","146353","151214","156645","158040","159052","161406",,
"                Ohio (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2561742","2550720","2533677","2520017","2506359","2485767","2463366","2446114","2429392","2414795","2396536","2373838","2354538","2344283","2334305","2322366","2307610","2296973","2289344",,
"                Oklahoma (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"784154","779314","779564","780500","779850","783145","790039","798898","805841","818607","829079","834649","840390","848496","851593","856246","856192","853096","851021",,
"                Oregon (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"748971","749524","751061","750819","747559","748687","752459","756629","761707","764381","766113","765165","762561","759846","762065","765132","770587","773422","775064",,
"                Pennsylvania (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2583841","2568794","2551564","2536309","2522620","2503842","2485429","2471997","2460669","2450629","2437935","2422411","2407832","2393328","2382319","2370673","2354734","2344038","2337222",,
"                Rhode Island (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"221056","220636","220642","219833","217324","212734","207156","203162","200256","196997","194936","192707","190463","188356","186371","184805","183374","181668","180341",,
"                South Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"897509","901486","904725","907655","911525","915429","922004","933663","945568","952583","955014","954371","956940","958460","962877","969237","972051","975798","980362",,
"                South Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"177473","175599","173739","172730","172711","172639","173472","175201","176521","178238","180538","181841","183545","185851","187770","189216","191238","193625","195184",,
"                Tennessee (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1244163","1250862","1256063","1265649","1272836","1283607","1297266","1306237","1318146","1320530","1322383","1320557","1323373","1325338","1326970","1328373","1328790","1331314","1334122",,
"                Texas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5251595","5316807","5385216","5453714","5522268","5595524","5724093","5827267","5931754","6040560","6122325","6178146","6235383","6292292","6370027","6454165","6507276","6541430","6575804",,
"                Utah (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"637206","643186","650865","659492","671248","686302","706014","730202","751658","771659","787630","794725","800328","807270","811491","816119","822087","826992","830938",,
