"Years","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"                Maryland (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1356961","1366552","1375354","1379641","1383450","1382966","1377756","1369563","1359214","1353631","1352616","1349605","1347162","1344047","1346600","1346051","1345270","1343582","1340148",,
"                Massachusetts (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1501334","1505028","1502652","1493372","1479541","1464140","1450202","1439757","1429727","1422935","1417522","1410090","1403504","1398215","1392957","1386023","1378491","1373069","1366857",,
"                Michigan (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2596114","2593310","2584310","2569080","2553314","2531839","2503548","2470063","2418879","2372603","2334187","2301795","2272917","2249512","2230416","2209453","2194559","2181147","2164668",,
"                Minnesota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1289715","1291261","1288795","1283687","1281946","1280557","1282381","1285074","1284179","1284103","1283284","1280883","1277500","1278711","1282700","1285300","1291882","1298811","1302615",,
"                Mississippi (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"774353","768418","763148","759447","760410","760870","756990","761171","760572","758539","753552","747664","741819","735564","731444","726375","721030","714353","706138",,
"                Missouri (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1428383","1426575","1424513","1421927","1420956","1422978","1428324","1431346","1428945","1426603","1423925","1413967","1404818","1397659","1393123","1389650","1385993","1382422","1376751",,
"                Montana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"230067","227118","224772","223012","221999","221685","221930","223135","223814","223675","223393","223113","222879","224381","225508","226587","227957","229243","229434",,
"                Nebraska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"450380","448307","447714","447444","448360","448918","450098","451946","453787","456543","459743","460850","462471","464517","467315","470532","473700","475750","476841",,
"                Nevada (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"516018","534708","552816","568963","591314","611595","634403","654053","662621","666041","663315","657703","655307","656116","659946","667343","674878","681303","688997",,
"                New Hampshire (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"310352","311877","312743","311412","309243","307403","305169","300918","296029","290850","285917","281234","276349","271852","267887","264919","262630","260450","258170",,
"                New Jersey (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2088885","2102838","2116591","2126014","2129051","2121878","2106403","2091023","2076366","2068684","2061667","2047412","2028470","2011104","1997925","1983364","1970473","1962001","1953631",,
"                New Mexico (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"508132","503404","502779","500777","501184","502612","505125","508725","511214","515470","518504","517279","513447","509329","503922","499292","494785","488380","482153",,
